age1,age3,age5,age7,age9,age11,age13,age15,FID_68,IID_68,EA_01,EA_03,EA_05,EA_07,EA_09,EA_11,EA_13,EA_15,EMPL_1,EMPL_3,EMPL_5,EMPL_7,EMPL_9,EMPL_11,EMPL_13,EMPL_15
49,51,53,55,57,59,61,63,4,3,9,9,9,9,10,10,,,1,1,1,3,4,5,,
47,49,51,53,55,58,59,61,4,4,12,12,12,12,14,14,14,,1,1,1,1,1,1,1,
45,47,49,51,53,55,57,59,4,5,12,12,,,,,,,6,1,,,,,,
43,45,47,49,51,53,55,57,4,6,12,12,12,12,12,12,12,12,1,1,1,5,4,4,6,4
41,43,45,47,48,50,53,55,4,7,12,,12,,12,12,12,12,1,,1,0,1,1,1,1
36,38,40,42,44,46,48,50,4,8,11,11,11,,11,11,,,1,3,3,0,1,1,,
27,29,31,33,36,37,39,41,4,31,12,12,12,12,12,12,12,12,5,6,6,5,6,5,5,6
26,28,30,32,34,36,38,40,4,33,12,12,12,12,12,,,,1,1,3,1,3,,,
25,27,29,31,33,35,37,39,4,34,10,10,10,,12,,12,12,1,1,1,0,1,,1,1
24,26,28,30,32,34,36,38,4,35,13,,14,,14,,,,1,,1,0,1,,,
22,24,26,28,30,32,34,36,4,36,12,12,12,,13,,12,12,1,1,1,0,6,,3,1
14,16,18,20,23,24,26,28,4,37,,9,12,,11,10,,,,7,1,0,1,,,
14,16,17,20,22,24,25,28,4,38,,,12,,12,12,12,,,,7,0,1,3,3,
10,12,14,16,18,20,23,25,4,39,,,,10,12,12,12,12,,,,1,6,5,6,5
9,11,13,15,17,19,21,23,4,40,,,,,,,,12,,,,,,,,1
8,10,12,14,17,18,21,22,4,41,,,,,10,12,12,12,,,,0,7,5,6,3
4,7,9,10,13,15,17,18,4,42,,,,,,,11,11,,,,,,,3,
5,7,9,11,13,15,17,19,4,43,,,,,,,,,,,,,,,,
1,2,4,6,8,10,12,14,4,44,,,,,,,,,,,,,,,,
-1,1,3,5,7,9,11,13,4,45,,,,,,,,,,,,,,,,
-1,1,1,4,6,7,10,13,4,46,,,,,,,,,,,,,,,,
-7,-5,-3,-1,1,3,4,6,4,47,,,,,,,,,,,,,,,,
-7,-5,-3,-1,1,2,4,6,4,48,,,,,,,,,,,,,,,,
-9,-7,-5,-3,-1,1,4,6,4,49,,,,,,,,,,,,,,,,
-10,-8,-6,-4,-2,-1,2,3,4,50,,,,,,,,,,,,,,,,
47,49,51,53,55,57,59,61,4,173,10,10,10,10,12,12,,,1,4,5,6,4,5,,
41,43,45,47,49,51,53,55,4,175,12,12,,,,,,,1,1,,,,,,
35,37,38,41,43,45,47,49,4,179,9,9,9,,,,,,6,1,1,,,,,
17,19,20,22,24,26,28,30,4,180,10,9,9,12,10,12,12,12,7,6,1,1,6,6,1,1
57,59,61,63,65,67,69,71,4,186,14,14,,,,,,,4,1,,,,,,
13,16,17,19,21,23,25,27,4,187,,10,,,,,,,,7,,,,,,
43,45,47,49,51,53,55,57,4,188,16,16,,,,,,,1,1,,,,,,
26,28,30,32,34,36,38,40,4,190,12,12,,,,,,,1,1,,,,,,
22,24,26,28,30,32,34,36,4,191,,,,,,,,,,,,,,,,
87,89,91,93,95,97,99,,4,192,,,,,,,,,4,4,,,,,,
31,33,35,37,39,41,43,45,4,193,12,12,12,,,,,,1,1,1,,,,,
20,22,24,26,28,30,32,34,4,194,11,10,,,,,,,6,,,,,,,
28,30,32,34,37,38,41,42,4,195,11,11,11,11,9,9,9,9,1,1,3,3,1,1,3,1
24,26,28,30,32,34,36,38,4,196,,10,10,11,11,11,11,,,1,1,1,1,3,1,
25,27,29,31,33,35,37,38,4,197,,,,,12,,13,13,,,,0,1,,1,1
24,26,28,30,32,34,36,38,4,198,,,,,17,,,,,,,0,1,,,
31,33,35,37,39,41,43,45,4,199,,,,,,11,,,,,,0,3,6,,
8,10,12,14,16,18,21,22,4,200,,,,,,12,12,12,,,,,,3,1,
19,21,23,25,27,29,32,34,4,201,,,,,,11,11,11,,,,,,1,1,3
19,21,23,25,27,29,31,33,4,202,,,,,,12,,,,,,,,1,,
11,13,15,17,19,21,23,24,4,203,,,,,,,,,,,,,,,,
19,21,23,25,27,29,31,33,4,204,,,,,,,,12,,,,,,,,1
47,49,51,53,55,57,59,61,4,205,,,,,,,,,,,,,,,,6
55,57,59,61,64,65,67,69,5,2,8,8,8,8,10,10,10,10,5,5,5,5,5,5,4,4
38,41,42,45,46,49,51,52,5,3,12,12,12,12,12,12,12,12,1,1,1,1,1,1,1,1
35,37,39,41,44,45,47,49,5,4,12,12,12,12,12,12,12,12,1,5,5,6,5,5,5,5
34,36,38,40,42,44,46,48,5,5,,10,10,10,10,10,10,10,1,1,1,1,1,1,1,5
17,19,22,23,26,27,29,31,5,31,11,12,12,12,12,12,13,13,1,1,1,1,1,1,1,1
16,18,20,23,24,27,28,30,5,32,10,12,14,16,14,14,14,,7,1,1,6,6,6,6,
6,8,10,12,14,16,18,20,5,33,,,,,,10,,12,,,,,,7,3,3
-5,-3,-1,1,2,4,6,9,5,34,,,,,,,,,,,,,,,,
-7,-5,-3,-1,1,2,4,6,5,35,,,,,,,,,,,,,,,,
-11,-9,-7,-5,-3,-1,1,3,5,36,,,,,,,,,,,,,,,,
36,38,40,42,44,46,48,50,5,170,12,12,12,12,13,13,13,13,1,1,6,5,4,5,5,5
37,39,41,43,45,47,49,52,5,172,12,,,,,,,,1,1,,,,,,4
17,19,21,23,25,27,29,31,5,173,10,12,,,,,,,3,7,,,,,,
13,15,17,19,21,23,25,27,5,174,,,,,,,,,,,,,,,,
